Unnamed: 0,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
0,SALE ‼‼   ORIGINAL 100%  VANS OLD SKOOL BLACK/WHITE,frigo.id,"KOTA JAKARTA SELATAN - PASAR MINGGU, DKI JAKARTA, ID",Rp345.000 - Rp499.000,51% off,"2,1RB",4.8,"1,2RB",/SALE-‼‼-ORIGINAL-100-VANS-OLD-SKOOL-BLACK-WHITE-i.216875785.5515635728?ads_keyword=vans%20oldskool%20black%20white%20premium&adsid=7315613&campaignid=5526778&position=0
1,(2PCS = 1KG) VANS_99 OLDSKOOL HITAM NAVY MAROON GREY GRADE ORI PREMIUM,jackrepublic_sby,"KOTA SURABAYA - RUNGKUT, JAWA TIMUR, ID",Rp39.900 - Rp49.900,58% off,1RB,4.5,478,/(2PCS-1KG)-VANS_99-OLDSKOOL-HITAM-NAVY-MAROON-GREY-GRADE-ORI-PREMIUM-i.129226120.6161582085?ads_keyword=sepatu%20vans&adsid=24446270&campaignid=14488129&position=1
2,Vans Sepatu Vans Old School Vans Original Black White Chekerboad Navy Maroon Classic Pria Wanita,rizki_collectionn,"KAB. BANDUNG - BANJARAN, JAWA BARAT, ID",Rp132.990,34% off,"6,4RB",4.7,"3,7RB",/Vans-Sepatu-Vans-Old-School-Vans-Original-Black-White-Chekerboad-Navy-Maroon-Classic-Pria-Wanita-i.333977623.4372159544?ads_keyword=sepatu%20sneakers%20vans&adsid=31569070&campaignid=18970227&position=2
3,(BISA COD) 5 PILIHAN WARNA SEPATU OLDSKOOL PREMIUM SNEAKERS OLD SCHOOL PRIA WANITA,taba_shoes_store,"KAB. BANDUNG - MARGAASIH, JAWA BARAT, ID",Rp180.000,25% off,"9,9RB",4.8,"4,6RB",/(BISA-COD)-5-PILIHAN-WARNA-SEPATU-OLDSKOOL-PREMIUM-SNEAKERS-OLD-SCHOOL-PRIA-WANITA-i.108026952.1742361902?ads_keyword=vans&adsid=2058592&campaignid=2058592&position=3
4,V4NS DOUBLE  POKSING  O.S OG PREMIUM IMPOR,kubilandri,"KAB. TANGERANG - TIGARAKSA, BANTEN, ID",Rp110.000,45% off,352,4.7,201,/V4NS-DOUBLE-POKSING-O.S-OG-PREMIUM-IMPOR-i.70325473.4336876386?ads_keyword=wkdaelpmissisiht&adsid=17689934&campaignid=7115206&position=4
5,Sepatu Sneakers Old Skool Black White Vns slip on Motif catur bw Vans SK Delapan Low COD,nur_azizah_colection,"KAB. TANGERANG - PASAR KEMIS, BANTEN, ID",Rp49.400 - Rp52.000,5% off,997,4.6,452,/Sepatu-Sneakers-Old-Skool-Black-White-Vns-slip-on-Motif-catur-bw-Vans-SK-Delapan-Low-COD-i.347545594.4978724765?position=5
6,SEPATU VANS OLD SKOOL (GREED ORI),wawan_shop,"KAB. TANGERANG - SEPATAN, BANTEN, ID",Rp48.750 - Rp52.500,35% off,"8,7RB",4.7,"3,8RB",/SEPATU-VANS-OLD-SKOOL-(GREED-ORI)-i.18018345.6549373661?position=6
8,COD PROMO SEPATU VANS OLDSKOOL HITAM MARON NAVY SIZE 36-44 TERLARIS,yostar.shoes,"KAB. MOJOKERTO - PURI, JAWA TIMUR, ID",Rp79.800 - Rp88.200,16% off,"5,9RB",4.8,"3,4RB",/COD-PROMO-SEPATU-VANS-OLDSKOOL-HITAM-MARON-NAVY-SIZE-36-44-TERLARIS-i.328342490.3278083873?position=8
10,SEPATU VANS SEKOLAH KASUAL HITAM OLDSKOOL /PUTIH PRIA LAKI COWOK VENS OLAHRAGA LARI RUNNING KEREN,rapayurapopo_82,"KOTA JAKARTA BARAT - KEBON JERUK, DKI JAKARTA, ID",Rp65.000,50% off,"3,2RB",4.6,"1,6RB",/SEPATU-VANS-SEKOLAH-KASUAL-HITAM-OLDSKOOL-PUTIH-PRIA-LAKI-COWOK-VENS-OLAHRAGA-LARI-RUNNING-KEREN-i.140582312.4136420587?position=10
11,BIG SALE 9.9 sepatu pria VANS AUTHENTIC LX OG CLASSIC BLACK WHITE/ sepatu pria terbaru/sepatu kasual,maher_store,"KAB. BOGOR - TAMANSARI, JAWA BARAT, ID",Rp45.000,10% off,3RB,3.9,31,/BIG-SALE-9.9-sepatu-pria-VANS-AUTHENTIC-LX-OG-CLASSIC-BLACK-WHITE-sepatu-pria-terbaru-sepatu-kasual-i.315816074.8450415867?position=11
