product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
Sepatu VANS OLD SKOOL hitam putih - 40,NAF SHOES,Kab. Tangerang,Rp55.900,,Terjual 625,4.7,(324 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-old-skool-hitam-putih-40?whid=0
"SEPATU VANS VAULT OLD SKOOL OG BLACK WHITE GRADE ORIGINAL - Hitam, 36",4SDOnlineshop,Jakarta Selatan,Rp114.000,5%,Terjual 253,4.7,(147 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-vault-old-skool-og-black-white-grade-original-hitam-36?whid=0
Sepatu Vans Oldskool/Vans cowok/vans cewek/vans Premium original,Azkaputra,Jakarta Utara,Rp140.000,,Terjual 3.080,4.7,(1.359 ulasan),https://www.tokopedia.com/selpiasti/sepatu-vans-oldskoolvans-cowokvans-cewekvans-premium-original?whid=0
"Sepatu Vans OldSkool Fullwhite/Putih Pria & Wanita Terbaru Berkualitas - Putih, 36",Arty's Shoes,Kab. Tangerang,Rp70.000,,Terjual 1.298,4.5,(687 ulasan),https://www.tokopedia.com/artyshoes/sepatu-vans-oldskool-fullwhite-putih-pria-wanita-terbaru-berkualitas-putih-36?whid=0
"SEPATU VANS OLD SKOOL VAULT OG RAINBOW GREEN GRADE ORIGINAL - rainbow, 39",4SDOnlineshop,Jakarta Selatan,Rp118.750,5%,Terjual 136,4.8,(71 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-old-skool-vault-og-rainbow-green-grade-original-rainbow-39?whid=0
Sepatu Vans Era Authentic Hitam Polos Sepatu Sekolah Kuliah Kerja - 36,NAF SHOES,Kab. Tangerang,Rp52.000,,Terjual 195,4.8,(105 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-era-authentic-hitam-polos-sepatu-sekolah-kuliah-kerja-36?whid=0
Sepatu Vans Oldskool/Vans cowok/vans cewek/vans Premium original - 36,Ezelis Store,Kab. Tangerang,Rp65.000,,Terjual 977,4.5,(262 ulasan),https://www.tokopedia.com/ezelisstore/sepatu-vans-oldskool-vans-cowok-vans-cewek-vans-premium-original-36?whid=0
"SEPATU VANS AUTHENTIC OG MONO BLACK WHITE - authentic bw og, 36",4SDOnlineshop,Jakarta Selatan,Rp109.250,5%,Terjual 49,4.9,(34 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-authentic-og-mono-black-white-authentic-bw-og-36?whid=0
Sepatu Vans Old Skool Hitam Polos sepatu full black kasual sekolah - 40,NAF SHOES,Kab. Tangerang,Rp58.000,,Terjual 206,4.7,(92 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-old-skool-hitam-polos-sepatu-full-black-kasual-sekolah-40?whid=0
"Sepatu Vans Old School Premium - Hitam, 36",caki,Kab. Tangerang,Rp90.000,,Terjual 528,4.5,(232 ulasan),https://www.tokopedia.com/trashbag/sepatu-vans-old-school-premium-hitam-36?whid=0
"[PREMIUM] SEPATU VANS OLD SCKOOL DT - Hitam, 39",dsd_store08,Kota Depok,Rp120.000,,Terjual 66,4.6,(42 ulasan),https://www.tokopedia.com/dsdstore08/premium-sepatu-vans-old-sckool-dt-hitam-39?whid=0
"OBRAL SEPATU VANS VAULT OG OLD SKOOL BEMPER GUM BLACK WHITE GRADE ORI - bw BEMPER gem, 39",4SDOnlineshop,Jakarta Selatan,Rp118.750,5%,Terjual 34,4.9,(25 ulasan),https://www.tokopedia.com/4sdonlineshop/obral-sepatu-vans-vault-og-old-skool-bemper-gum-black-white-grade-ori-bw-bemper-gem-39?whid=0
Vans Old Skool Black And White - 4.5,Badass Monkey Indonesia,Jakarta Selatan,Rp1.200.000,,Terjual 299,4.9,(176 ulasan),https://www.tokopedia.com/badassmonkeyid/vans-old-skool-black-and-white-4-5?whid=0
Sepatu Sneakers Pria big size jumbo Vans full black. 44 45 46 Premium - 39,Kitakitashoes,Kota Bekasi,Rp155.000,,Terjual 66,4.8,(43 ulasan),https://www.tokopedia.com/kitakitashoes-1/sepatu-sneakers-pria-big-size-jumbo-vans-full-black-44-45-46-premium-39?whid=0
Sepatu Sneakers pria big size jumbo Vans old Skool classic. 44 45 46 - 39,Kitakitashoes,Kota Bekasi,Rp150.000,,Terjual 193,4.7,(133 ulasan),https://www.tokopedia.com/kitakitashoes-1/sepatu-sneakers-pria-big-size-jumbo-vans-old-skool-classic-44-45-46-39?whid=0
"SEPATU VANS OLD SKOOL VAULT GREEN BLACK GRADE ORIGINAL - Green Black, 39",4SDOnlineshop,Jakarta Selatan,Rp150.000,,Terjual 16,4.9,(8 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-old-skool-vault-green-black-grade-original-green-black-39?whid=0
SEPATU VANS SLIP ON / CHECKER BOARD / CATUR (IFC) - 38,KiosHuma,Kab. Tangerang,Rp75.000,,Terjual 118,4.4,(17 ulasan),https://www.tokopedia.com/kioshuma/sepatu-vans-slip-on-checker-board-catur-ifc-38?whid=0
"SEPATU VANS OLD SKOOL VAULT OG HIJAU ARMY WAFFEL DT GRADE ORIGINAL - Hijau, 36",4SDOnlineshop,Jakarta Selatan,Rp114.000,5%,Terjual 49,4.7,(29 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-old-skool-vault-og-hijau-army-waffel-dt-grade-original-hijau-36?whid=0
"Sepatu Vans Old skool Black white Premium - Hitam, 43",Gayoshoop,Jakarta Selatan,Rp249.000,,Terjual 234,4.8,(122 ulasan),https://www.tokopedia.com/gayoshoop/sepatu-vans-old-skool-black-white-premium-hitam-43?whid=0
SEPATU VANS OLD SKOOL OG VAULT CREAM GREY - 39,bayualkahfi23,Kota Bekasi,Rp120.000,,Terjual 52,4.7,(35 ulasan),https://www.tokopedia.com/bayualkahfi/sepatu-vans-old-skool-og-vault-cream-grey-39?whid=0
"sepatu vans authentic maroon black full black - FullBlack, 39",ID - MANSTORE,Kota Bandung,Rp90.000,,Terjual 44,4.5,(22 ulasan),https://www.tokopedia.com/id-manstore/sepatu-vans-authentic-maroon-black-full-black-fullblack-39?whid=0
"SEPATU VANS SLIP ON OG CHECKERBOARD WHITE - kotak slip on, 36",4SDOnlineshop,Jakarta Selatan,Rp118.750,5%,Terjual 265,4.7,(152 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-slip-on-og-checkerboard-white-kotak-slip-on-36?whid=0
"Sepatu Vans Authentic Classic Black White BNIB Premium Original - Black/White, 37",sneaker official member,Kota Bandung,Rp269.000,,Terjual 193,4.8,(105 ulasan),https://www.tokopedia.com/sneakerofficial/sepatu-vans-authentic-classic-black-white-bnib-premium-original-black-white-37?whid=0
"SEPATU VANS VAULT OG CRAZY WORLD SLIP ON BLACK WHITE GRADE ORIGINAL - crazy, 36",4SDOnlineshop,Jakarta Selatan,Rp114.000,5%,Terjual 27,5,(15 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-vault-og-crazy-world-slip-on-black-white-grade-original-crazy-36?whid=0
Sepatu Vans AVE Pro 'Anthony Van Engelen' Original,70stores,Jakarta Pusat,Rp2.349.000,,Terjual 26,5,(21 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-ave-pro-anthony-van-engelen-original?whid=0
"SEPATU COUPLE KELUARGA VANS OLD SKOOL VAULT OG PUTIH NAVY - Putih, 26/27/28/29/30",4SDOnlineshop,Jakarta Selatan,Rp80.750,5%,Terjual 13,4.2,(6 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-couple-keluarga-vans-old-skool-vault-og-putih-navy-putih-26-27-28-29-30?whid=0
Sepatu Vans Old Skool Traner Olive 100% Grade Original,B.O.S_STORE,Jakarta Selatan,Rp269.000,,Terjual 7,4.8,(4 ulasan),https://www.tokopedia.com/bosstore-1/sepatu-vans-old-skool-traner-olive-100-grade-original?whid=0
SEPATU VANS SK8 HI SNEAKERS HITAM PUTIH TINGGI - 36,NAF SHOES,Kab. Tangerang,Rp65.000,,Terjual 90,4.7,(42 ulasan),https://www.tokopedia.com/nafshoes888/sepatu-vans-sk8-hi-sneakers-hitam-putih-tinggi-36?whid=0
SEPATU VANS AUTHENTIC CLASSIC FULL BLACK IMPORT QUALITY BNIB - 36,FOOTRUCKJKT,Jakarta Selatan,Rp155.000,,Terjual 5,5,(3 ulasan),https://www.tokopedia.com/footruckjkt/sepatu-vans-authentic-classic-full-black-import-quality-bnib-36?whid=0
VANS OLD SKOOL BLACK CHECKERBOARD BLACK - 38,Sneakers Dept,Jakarta Timur,Rp789.000,47%,Terjual 8,5,(3 ulasan),https://www.tokopedia.com/sneakersdept/vans-old-skool-black-checkerboard-black-38?whid=0
Sepatu Vans Old Skool Pro BMX 'Matthias Dandois' Original,70stores,Jakarta Pusat,Rp1.899.000,,Terjual 16,5,(11 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-old-skool-pro-bmx-matthias-dandois-original?whid=0
"SEPATU VANS SK8 OLD SKOOL HIGH BLACK WHITE WAFFEL DT PREMIUM - Hitam, 39",4SDOnlineshop,Jakarta Selatan,Rp120.000,,Terjual 31,4.3,(18 ulasan),https://www.tokopedia.com/4sdonlineshop/sepatu-vans-sk8-old-skool-high-black-white-waffel-dt-premium-hitam-39?whid=0
"sepatu sekolah Vans hitam polos sol gum sneaker full black gum murah - Hitam, 41",aldhis shoes,Jakarta Timur,Rp93.000,,Terjual 30,5,(19 ulasan),https://www.tokopedia.com/aldhis/sepatu-sekolah-vans-hitam-polos-sol-gum-sneaker-full-black-gum-murah-hitam-41?whid=0
Sepatu Vans Old Skool x Zhao Zhao 'Year Of The Rat' Original,70stores,Jakarta Pusat,Rp1.799.000,,Terjual 3,5,(3 ulasan),https://www.tokopedia.com/70stores/sepatu-vans-old-skool-x-zhao-zhao-year-of-the-rat-original?whid=0
Sepatu Vans Sk8 Sk 8 Hi Black Navy Blue HIgh DT Premium Biru,Fresh Banana,Jakarta Selatan,Rp269.000,,Terjual 120,4.7,(59 ulasan),https://www.tokopedia.com/freshbanana/sepatu-vans-sk8-sk-8-hi-black-navy-blue-high-dt-premium-biru?whid=0
"sepatu kets vans blue denim cowok pria termurah special edition VD2 - Navy, 39",stylishstore23,Kota Bogor,Rp35.000,,Terjual 113,4.5,(38 ulasan),https://www.tokopedia.com/stylishstore23/sepatu-kets-vans-blue-denim-cowok-pria-termurah-special-edition-vd2-navy-39?whid=0
Sepatu Vans Authentic Classic Black Rubber Gum Original 100% BNIB! - 37,Toko Adidas Original,Kota Tangerang Selatan,Rp499.000,,Terjual 45,5,(28 ulasan),https://www.tokopedia.com/tokoadidasori/sepatu-vans-authentic-classic-black-rubber-gum-original-100-bnib-37?whid=0
SEPATU PRIA SNEAKERS UKURAN JUMBO VANS OLD SKOOL OG RAINBOW SIZE 45 46 - 45,Lapaksepatu_murah,Kota Bekasi,Rp155.000,,Terjual 8,5,(7 ulasan),https://www.tokopedia.com/lapaksepatumurah-1/sepatu-pria-sneakers-ukuran-jumbo-vans-old-skool-og-rainbow-size-45-46-45?whid=0
