id,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product,category,ecommerce_name
613483b08c685a89e2a487a0,"Sepatu VANS OLD SKOOL hitam putih - 40","NAF SHOES","Kabupaten Tangerang",55900,0,625,5,324,https://www.tokopedia.com/nafshoes888/sepatu-vans-old-skool-hitam-putih-40?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487a1,"SEPATU VANS VAULT OLD SKOOL OG BLACK WHITE GRADE ORIGINAL - Hitam, 36",4SDOnlineshop,"Jakarta Selatan",114000,5,253,5,147,https://www.tokopedia.com/4sdonlineshop/sepatu-vans-vault-old-skool-og-black-white-grade-original-hitam-36?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487a6,"Sepatu Vans Oldskool/Vans cowok/vans cewek/vans Premium original - 36","Ezelis Store","Kabupaten Tangerang",65000,0,977,5,262,https://www.tokopedia.com/ezelisstore/sepatu-vans-oldskool-vans-cowok-vans-cewek-vans-premium-original-36?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487a8,"Sepatu Vans Old Skool Hitam Polos sepatu full black kasual sekolah - 40","NAF SHOES","Kabupaten Tangerang",58000,0,206,5,92,https://www.tokopedia.com/nafshoes888/sepatu-vans-old-skool-hitam-polos-sepatu-full-black-kasual-sekolah-40?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487a9,"Sepatu Vans Old School Premium - Hitam, 36",caki,"Kabupaten Tangerang",90000,0,528,5,232,https://www.tokopedia.com/trashbag/sepatu-vans-old-school-premium-hitam-36?whid=0,,tokopedia
613483b08c685a89e2a487ab,"OBRAL SEPATU VANS VAULT OG OLD SKOOL BEMPER GUM BLACK WHITE GRADE ORI - bw BEMPER gem, 39",4SDOnlineshop,"Jakarta Selatan",118750,5,34,5,25,https://www.tokopedia.com/4sdonlineshop/obral-sepatu-vans-vault-og-old-skool-bemper-gum-black-white-grade-ori-bw-bemper-gem-39?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487ac,"Vans Old Skool Black And White - 4.5","Badass Monkey Indonesia","Jakarta Selatan",1200000,0,299,5,176,https://www.tokopedia.com/badassmonkeyid/vans-old-skool-black-and-white-4-5?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487b1,"SEPATU VANS OLD SKOOL VAULT OG HIJAU ARMY WAFFEL DT GRADE ORIGINAL - Hijau, 36",4SDOnlineshop,"Jakarta Selatan",114000,5,49,5,29,https://www.tokopedia.com/4sdonlineshop/sepatu-vans-old-skool-vault-og-hijau-army-waffel-dt-grade-original-hijau-36?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a487b4,"sepatu vans authentic maroon black full black - FullBlack, 39","ID - MANSTORE",Bandung,90000,0,44,5,22,https://www.tokopedia.com/id-manstore/sepatu-vans-authentic-maroon-black-full-black-fullblack-39?whid=0,Authentic,tokopedia
613483b08c685a89e2a487b5,"SEPATU VANS SLIP ON OG CHECKERBOARD WHITE - kotak slip on, 36",4SDOnlineshop,"Jakarta Selatan",118750,5,265,5,152,https://www.tokopedia.com/4sdonlineshop/sepatu-vans-slip-on-og-checkerboard-white-kotak-slip-on-36?whid=0,Checkerboard,tokopedia
